0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0
0.932,0.936,0.922,0.938,0.947,0.952,0.939,0.933,0.959,0.94
0.947,0.955,0.959,0.956,0.9545,0.9465,0.9555,0.9525,0.9585,0.953
0.950333333,0.957333333,0.962,0.961333333,0.958,0.955,0.960333333,0.957,0.960666667,0.959333333
0.967,0.9635,0.964333333,0.965,0.96075,0.9635,0.96575,0.96225,0.963,0.9645
0.97,0.9668,0.96675,0.9686,0.964,0.966333333,0.9698,0.9662,0.9652,0.9682
0.969666667,0.969333333,0.9674,0.971,0.933,0.9675,0.972833333,0.968666667,0.9665,0.971166667
0.967,0.971285714,0.966833333,0.973428571,0.932,0.9662,0.975714286,0.969571429,0.965857143,0.973571429
0.967,0.97325,0.966571429,0.975375,0.946,0.965833333,0.977,0.97075,0.9655,0.97425
0.967166667,0.973666667,0.967125,0.976111111,0.924,0.966285714,0.978,0.972111111,0.965888889,0.976222222
0.967428571,0.9748,0.967666667,0.9771,0.988,0.966875,0.9792,0.9741,0.9665,0.9775
0.967625,0.976090909,0.9676,0.977636364,0.985,0.966666667,0.979636364,0.975727273,0.878,0.978
0.966777778,0.976833333,0.966727273,0.978583333,0.986666667,0.9655,0.980583333,0.976833333,0.931,0.979
0.9668,0.977615385,0.966666667,0.979692308,0.9865,0.965272727,0.981,0.978,0.943,0.98
0.966363636,0.978571429,0.966461538,0.980357143,0.9872,0.965083333,0.981428571,0.978785714,0.987,0.980857143
0.9665,0.9796,0.966571429,0.980933333,0.987166667,0.985,0.9818,0.979333333,0.9875,0.9814
0.941,0.9800625,0.967,0.9815,0.987714286,0.9885,0.9823125,0.979875,0.988333333,0.982
0.934,0.980823529,0.9670625,0.981764706,0.987625,0.987666667,0.982588235,0.980588235,0.9875,0.982470588
0.921,0.981222222,0.966941176,0.982055556,0.987888889,0.9875,0.982944444,0.981222222,0.9882,0.982833333
0.943,0.981578947,0.9665,0.982631579,0.9884,0.9884,0.983421053,0.981526316,0.988666667,0.983526316
0.904,0.98225,0.966105263,0.9832,0.988727273,0.989,0.98375,0.98205,0.989428571,0.9841
0.893,0.98252381,0.96615,0.98352381,0.988916667,0.989857143,0.984190476,0.982619048,0.9895,0.984380952
0.913,0.983045455,0.965428571,0.983863636,0.989076923,0.99,0.984636364,0.983181818,0.989777778,0.984727273
0.985,0.983391304,0.965454545,0.984347826,0.989357143,0.990111111,0.984913043,0.983608696,0.99,0.984956522
