kappa_1,kappa_2,kappa_3,kappa_4,kappa_5,kappa_6,kappa_7,kappa_8,kappa_9,kappa_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8638619560234079,0.8718505777736842,0.8438891613045263,0.8759873507097723,0.893981128640898,0.9040922632427605,0.877792491650823,0.865833365039379,0.918010330698332,0.8798964707577931
0.893376680071699,0.909456922621886,0.880272776846566,0.9116041634439017,0.9085836901248285,0.89254330906352,0.9103875887817344,0.9044486688190861,0.9165310715600242,0.905461698913614
0.9002090920902646,0.9142306151139058,0.8968181117714454,0.922349334279422,0.9156783409780509,0.8982964658021867,0.9202285619287796,0.9135881032923602,0.9209529589719061,0.9183180480959402
0.9085782371246952,0.9266906068699688,0.9070621115211961,0.9297310543943124,0.9212268837593541,0.9096664886761924,0.9311530717225439,0.9241725295906034,0.9256619197030695,0.9287272123142313
0.9159716571193316,0.9333095926196378,0.9151534765038664,0.9369410243540994,0.9224773569614853,0.9164309591154539,0.9392838095091044,0.9320874501465624,0.9300453241973061,0.9361341956314825
0.9194696629917243,0.9383186881189503,0.9191191753780423,0.9416770854631811,0.9128550820234782,0.9205263369683313,0.9453050357172658,0.9369578402203167,0.9325611831117099,0.941998510065773
0.919211806231386,0.9422508548166378,0.9203403795191377,0.9465664797738326,0.9057896564510677,0.9206882877290986,0.9511125208598561,0.9387921712600794,0.931293072990617,0.9468382708127451
0.920985919577632,0.9461736271523867,0.9214669223774152,0.9504545698900223,0.903968224040625,0.9215221187518746,0.9536856208892448,0.9411502744717247,0.9305481331319314,0.9481858280065031
0.9226498060134635,0.9470347505671975,0.9237504464661053,0.9519563379199016,0.8976697297229665,0.9233522293551576,0.9557222373955969,0.9439156944890504,0.931369655998784,0.9521756645943781
0.9241620510121853,0.9493219803843888,0.9257554533524933,0.9539452435089942,0.9054949270883308,0.9251953968625501,0.9581436550006861,0.947924604478323,0.9326108410850983,0.9547496934040338
0.9253121550024407,0.951867966294799,0.9263949688913878,0.9549744115387705,0.9106961357662292,0.9255194366321462,0.9589788278642905,0.9511462297140209,0.9163455335836987,0.9557038638561084
0.9248305625509554,0.9533572464131639,0.9254873654933667,0.956881213110997,0.9164588062231815,0.9241871503929019,0.960889575829825,0.9533752073168053,0.9117274748570146,0.9577171914349124
0.9255414871211898,0.9549577674597768,0.925992349223882,0.9591334558916862,0.9207498474172618,0.9243315537301914,0.9617477561026445,0.9557430204076812,0.909729598520037,0.9597497012546613
0.9253913664873114,0.956879988311602,0.9261025864310404,0.96046658912847,0.9249680413446216,0.9244124070567197,0.9626114923500597,0.9573223342786363,0.9143014920958583,0.9614733316748657
0.9260974462174502,0.9589634235898411,0.9267612785753079,0.9616400215931805,0.928250119386437,0.9274618612969958,0.9633727154905238,0.9584381273496534,0.9184330473231068,0.9625785167100471
0.923289985625518,0.9598918327363378,0.9279366096839503,0.962778230077647,0.9315996748061193,0.9309850840570092,0.964403648817814,0.959525237000674,0.9222718779253429,0.9637828188632189
0.9200197704000895,0.9614363027470679,0.9284178986600532,0.9633231837377865,0.9341109897281545,0.9334114158867491,0.9649733838437742,0.9609741299594446,0.9250973708077385,0.9647441739904103
